-7750580.165 -7613507.165
-27051.515 -22630.515
44889.740 53494.740
696692.683 814544.683
No Collision
No Collision
No Collision
-69919.715 22570.285
-108982.276 -149500.276
91038.034 198753.034
No Collision
No Collision
No Collision
-9281.535 54341.465
No Collision
-74551.010 -77346.010
-43082.367 -40277.367
-123852.383 -242599.383
-161058.844 -130130.844
No Collision
No Collision
-26256.085 -59646.085
11590.082 -50688.918
148323.503 38443.503
No Collision
-24623.465 66578.535
-79930.933 -93084.933
-12413.462 30181.538
-42874.248 -6143.248
No Collision
No Collision
No Collision
55787.566 47552.566
No Collision
-111690.600 290.400
29541.118 63083.118
No Collision
No Collision
No Collision
65745.074 192826.074
No Collision
163942.921 182369.921
No Collision
No Collision
No Collision
41029.136 -16544.864
No Collision
No Collision
No Collision
98390.005 184074.005
-47953.132 26047.868
No Collision
-680024.345 -608333.345
-84015.375 -218785.375
No Collision
No Collision
No Collision
86642.490 245941.490
52470.069 99601.069
-3323.200 88393.800
No Collision
No Collision
54404.826 -56748.174
-103305.948 -55684.948
No Collision
No Collision
No Collision
No Collision
No Collision
No Collision
No Collision
55203.287 104375.287
-59746.351 -17647.351
-65302.083 -64952.083
No Collision
No Collision
-929.482 -37547.482
No Collision
No Collision
-135036.658 -240051.658
No Collision
No Collision
No Collision
-847061.319 -866908.319
270025.584 117030.584
39285.442 107000.442
No Collision
-2935.160 59096.840
49268.093 -22332.907
No Collision
No Collision
No Collision
-486291.668 -671645.668
-33414.856 14335.144
-113393.604 -5747.604
-160366.982 -244460.982
No Collision
No Collision
-188620.807 -235023.807
132834.389 47219.389
98871.043 257969.043
No Collision
No Collision
No Collision
-38521.858 -60613.858
No Collision
No Collision
685992.861 757284.861
No Collision
-439461.419 -383490.419
-195131.954 -50996.954
-1511808.873 -1484279.873
-531958.195 -567474.195
No Collision
No Collision
No Collision
No Collision
-26237.321 47974.679
No Collision
-1856969.337 -1742135.337
9373.203 -87720.797
-42739.559 -64710.559
77989.622 69528.622
No Collision
No Collision
No Collision
No Collision
-190835.016 -2805.016
No Collision
-39179.629 23564.371
-55920.540 -18126.540
-54514.905 -106442.905
65267.250 90773.250
No Collision
No Collision
90845.177 34154.177
No Collision
48743.758 65245.758
No Collision
No Collision
No Collision
50438.754 62362.754
No Collision
No Collision
No Collision
No Collision
No Collision
No Collision
No Collision
No Collision
No Collision
No Collision
-77092.883 -207983.883
No Collision
-143362.389 -108517.389
53320.183 69165.183
-4614218.885 -4441150.885
-366598.580 -403130.580
No Collision
No Collision
39307.198 12474.198
-83032.854 -56199.854
71605.842 87897.842
326959.090 243607.090
No Collision
-19729.462 -51770.462
No Collision
47184.963 1385.963
No Collision
No Collision
3681.411 -43353.589
No Collision
No Collision
-110026.325 60142.675
-151528.741 -97194.741
No Collision
116864.260 19646.260
No Collision
-95922.383 -93301.383
No Collision
No Collision
-280797.690 -326747.690
No Collision
No Collision
No Collision
80109.499 -85042.501
No Collision
-24153.792 40122.208
1187.073 -56998.927
No Collision
-66126.033 6265.967
122109.593 14175.593
No Collision
39307.364 234298.364
No Collision
-125866.206 -276903.206
107371.327 183836.327
No Collision
111874.362 250785.362
-27519.824 -28381.824
-19166.337 -77177.337
No Collision
No Collision
No Collision
No Collision
No Collision
368699.490 352755.490
No Collision
No Collision
No Collision
-77780.003 -67211.003
No Collision
-24828.495 10146.505
-118773.159 -66970.159
6485.588 13237.588
-97747.381 -110018.381
3876990.791 3698782.791
No Collision
No Collision
No Collision
No Collision
No Collision
No Collision
No Collision
No Collision
No Collision
206619.506 132793.506
-99887.723 -37194.723
No Collision
-94829.910 11861.090
-228148.308 -353659.308
No Collision
No Collision
No Collision
No Collision
No Collision
42680.714 159640.714
No Collision
No Collision
231001.975 113615.975
No Collision
153807.557 49406.557
63366.536 -28.464
No Collision
No Collision
No Collision
30570.283 26593.283
-35192.948 -201607.948
No Collision
No Collision
No Collision
391135.527 443579.527
7399.636 105070.636
No Collision
-15034.477 -62779.477
No Collision
No Collision
No Collision
No Collision
No Collision
No Collision
No Collision
No Collision
No Collision
129699.484 196420.484
-98507.406 -21012.406
No Collision
-92928.927 63169.073
No Collision
No Collision
No Collision
No Collision
No Collision
No Collision
18875.703 21592.703
No Collision
-522031.612 -377646.612
-225473.087 -231609.087
No Collision
-150288.333 -86576.333
No Collision
-5791.874 -34379.874
-17904.099 -27140.099
No Collision
No Collision
No Collision
-26633.898 -28896.898
No Collision
No Collision
No Collision
No Collision
-16941.779 29696.221
298263.057 322962.057
No Collision
No Collision
No Collision
153801.751 263179.751
No Collision
No Collision
582022.180 656058.180
-4225.832 102189.168
No Collision
2765.681 -70795.319
-275074.534 -150232.534
-524231.799 -444439.799
No Collision
No Collision
No Collision
No Collision
No Collision
No Collision
44792.002 130484.002
No Collision
No Collision
-2194371.278 -2251580.278
2639263.151 2782981.151
No Collision
No Collision
No Collision
No Collision
125884.431 235198.431
No Collision
No Collision
-260312.158 -421477.158
No Collision
-78585.257 -39358.257
-122202.830 -70730.830
1803680.576 1767737.576
15879.365 53713.365
No Collision
No Collision
No Collision
No Collision
-2968.155 573.845
86442.800 165831.800
No Collision
No Collision
No Collision
-74602.329 -36283.329
No Collision
505970.812 373119.812
-73866.073 -97253.073
267451.504 132318.504
No Collision
No Collision
-51668.434 -147654.434
No Collision
No Collision
6605.816 -49389.184
No Collision
103560.210 138738.210
No Collision
No Collision
No Collision
No Collision
-33786.099 -54096.099
-24445.261 755.739
2183.223 -8372.777
-65677.275 22903.725
-20623.863 34819.137
-503348.652 -408675.652
-105934.919 -80088.919
45250.799 107768.799
No Collision
No Collision
39580.598 -45107.402
No Collision
89820.112 54259.112
318501.281 417343.281
25685.536 38530.536
No Collision
No Collision
No Collision
No Collision
-68133.711 -37549.711
No Collision
-108731.014 -9346.014
No Collision
54141.115 17964.115
No Collision
-60884.754 15029.246
No Collision
No Collision
No Collision
No Collision
-207815.138 -179711.138
No Collision
No Collision
No Collision
No Collision
75973.034 74495.034
No Collision
No Collision
-11371.439 4893.561
No Collision
21842.530 -61566.470
No Collision
No Collision
No Collision
No Collision
-138636.850 -97792.850
7655.292 59100.292
-30405.120 -29167.120
No Collision
No Collision
-32538.270 51030.730
No Collision
65972.620 156968.620
-52737.042 -24368.042
No Collision
-30967.417 30144.583
No Collision
219951.848 122843.848
60607.103 118976.103
-473395.689 -439627.689
-125154.750 -78637.750
No Collision
325678.976 245384.976
42121.404 45313.404
66486.183 73835.183
-41654.531 15723.469
-539472.338 -391203.338
87539.497 83778.497
-621392.267 -611399.267
No Collision
No Collision
25011.335 40943.335
No Collision
No Collision
No Collision
-44519.006 -49017.006
No Collision
29561.979 24578.979
No Collision
No Collision
No Collision
No Collision
-373590.516 -508374.516
No Collision
195106.929 111823.929
No Collision
No Collision
-54298.895 -51221.895
No Collision
-95631.887 812.113
-100767.006 -154699.006
68703.221 55561.221
No Collision
-170207.382 -145080.382
No Collision
-85515.403 -150105.403
32899.555 147695.555
No Collision
No Collision
-105961.731 -279783.731
No Collision
No Collision
No Collision
No Collision
-79075.409 -153935.409
-3883.681 -4248.681
No Collision
No Collision
No Collision
No Collision
14535.244 -8130.756
No Collision
No Collision
No Collision
235184.534 378846.534
-82275.459 31314.541
No Collision
53961.165 -64752.835
-36066.073 -201380.073
No Collision
-87448.692 15149.308
-19348.641 53520.359
No Collision
No Collision
-241929.469 -250685.469
153442.206 88108.206
No Collision
No Collision
576594.664 711318.664
-120177.547 -98041.547
-79249.416 -55604.416
29979.417 143916.417
213361.967 236619.967
No Collision
No Collision
No Collision
No Collision
-18284.261 53648.739
-54902.464 -87932.464
No Collision
No Collision
No Collision
97072.396 61214.396
No Collision
No Collision
302356.575 414101.575
No Collision
1783.525 15891.525
1814156.267 1711050.267
No Collision
-63801.723 16349.277
8893064.606 8859913.606
1401833.422 1300496.422
-119793.068 10454.932
-20232.217 -51713.217
No Collision
No Collision
-1897.617 34980.383
49535.534 57736.534
No Collision
No Collision
-62962.917 -99111.917
755666.152 724670.152
No Collision
-31893.436 -22968.436
No Collision
No Collision
-64899.965 -148285.965
No Collision
-57190.564 -18805.564
No Collision
No Collision
57231.866 14627.866
-19956.547 -6133.547
12069.059 166307.059
No Collision
No Collision
No Collision
19552.102 -73982.898
No Collision
No Collision
No Collision
34746.090 -86663.910
No Collision
No Collision
No Collision
-7235.484 25939.516
-51569.996 16347.004
-89584.252 -49397.252
-139650.885 35155.115
19337.546 149157.546
No Collision
-1281947.677 -1460473.677
No Collision
-58552.716 -27177.716
-8292327.715 -8237690.715
37149.160 77912.160
68725.086 28246.086
-45844.783 -11769.783
No Collision
No Collision
No Collision
1373951.832 1508286.832
26869.263 -24763.737
11827.199 12468.199
No Collision
No Collision
No Collision
No Collision
No Collision
-16914.610 -98539.610
No Collision
61589.859 32679.859
No Collision
26759.532 82639.532
128720.838 82300.838
No Collision
363001.023 455580.023
No Collision
-444961.880 -309823.880
No Collision
-58711.445 -47074.445
-30393.290 7211.710
No Collision
52430.232 51183.232
No Collision
-274884.975 -286296.975
No Collision
-43186.560 -20741.560
No Collision
No Collision
No Collision
-290518.581 -186022.581
No Collision
-69896.435 30814.565
No Collision
No Collision
No Collision
60997.389 75282.389
-1138.067 -99761.067
145180.822 251497.822
No Collision
-95039.460 84857.540
No Collision
-108930.862 69039.138
No Collision
117866.089 212275.089
No Collision
-20850.938 -79396.938
-28871.596 75193.404
-702479.751 -619154.751
475959.352 664414.352
-28011.661 -69451.661
-365817.691 -201659.691
209378.742 255384.742
No Collision
-101794.187 -94660.187
-30570.767 -15871.767
No Collision
126228.502 92966.502
No Collision
-14295.111 -74750.111
No Collision
No Collision
246471.710 54918.710
No Collision
No Collision
No Collision
No Collision
-10736.762 -15630.762
-115021.840 -96768.840
-18228.433 -54272.433
-61092.713 -131071.713
-113400.683 28413.317
169366.979 22430.979
No Collision
-65861.521 -51835.521
-79398.582 -52523.582
No Collision
No Collision
No Collision
641092.026 763068.026
52259.739 -7645.261
No Collision
No Collision
No Collision
-210725.751 -326708.751
No Collision
No Collision
5333.168 -9065.832
74427980.787 74556413.787
No Collision
No Collision
83518.448 93926.448
685630.999 514936.999
12045.942 -22898.058
22317.688 29797.688
-89745.826 -99187.826
No Collision
No Collision
No Collision
-77568.727 -23851.727
No Collision
No Collision
-285742.752 -339807.752
-1341166.190 -1276626.190
9321.354 163587.354
11329.803 66599.803
-164114.548 -260165.548
118168.731 136772.731
No Collision
3925.375 -69686.625
47886.620 48494.620
No Collision
No Collision
No Collision
28115.029 30695.029
No Collision
No Collision
No Collision
No Collision
-152722.250 -139852.250
200602.801 136133.801
No Collision
No Collision
No Collision
No Collision
-54563.720 -54904.720
-135353.879 -26532.879
No Collision
105045.397 115447.397
No Collision
No Collision
No Collision
15411.671 20652.671
-93672.603 -111934.603
No Collision
No Collision
No Collision
No Collision
No Collision
145781.828 273628.828
No Collision
No Collision
-194968.895 -88324.895
No Collision
-65822.912 44817.088
No Collision
-102023.333 -169151.333
No Collision
No Collision
-470993.603 -352836.603
No Collision
-15915.209 -1453.209
15333.956 46548.956
-313204.276 -372572.276
No Collision
71915.253 94786.253
No Collision
No Collision
No Collision
No Collision
No Collision
-82427.383 -70968.383
936550.429 958935.429
No Collision
-2647.841 -48686.841
No Collision
330.009 30143.009
No Collision
No Collision
No Collision
No Collision
-71225.454 -38869.454
No Collision
74373.425 39223.425
350992.353 292177.353
19629.745 -72443.255
87792.575 55998.575
73539.106 -11416.894
No Collision
-673496.769 -483476.769
No Collision
-79186.305 -31720.305
No Collision
No Collision
No Collision
-58662.794 -179441.794
No Collision
No Collision
1901875.449 1778550.449
2209.397 133163.397
3660.819 42535.819
No Collision
No Collision
No Collision
-23378.870 6120.130
443750.181 367750.181
-3144.214 21432.786
4135.113 -26576.887
No Collision
No Collision
-364958.598 -518740.598
80648.390 -76435.610
-5185624.403 -5094462.403
No Collision
668433.817 797135.817
-94851.720 33338.280
-142761.533 -197850.533
No Collision
No Collision
No Collision
216016.278 339981.278
No Collision
57332.641 86063.641
No Collision
No Collision
129388.554 -13809.446
No Collision
No Collision
No Collision
944575.215 1008670.215
No Collision
No Collision
2468855.372 2331033.372
-110487.034 -91666.034
61067.478 -60058.522
-153136531.000 -153081947.000
-533504.678 -451558.678
No Collision
No Collision
No Collision
No Collision
126820.710 9540.710
2142695.208 1953376.208
195934.487 232153.487
No Collision
22569.198 54632.198
No Collision
-93333.667 -182942.667
19607.010 -43761.990
No Collision
-3529.844 2951.156
114923.524 36900.524
60242.882 -50515.118
13804.148 112975.148
No Collision
30797.005 107644.005
346223.754 506128.754
No Collision
No Collision
No Collision
No Collision
-372717.020 -245152.020
No Collision
134108.612 243125.612
-27223.044 -23927.044
No Collision
-189053.753 -16311.753
-137515.352 -23924.352
-9293.533 -81619.533
No Collision
No Collision
900024.889 773105.889
No Collision
No Collision
247338.758 291094.758
No Collision
132490.172 138274.172
45159.688 10934.688
No Collision
No Collision
No Collision
20948.923 -19200.077
-59703.170 -50129.170
306451.740 248507.740
33467.820 27935.820
No Collision
75872.150 247690.150
-2960628.267 -3087579.267
No Collision
No Collision
No Collision
66736.009 111290.009
113319.458 89593.458
24232.673 113236.673
No Collision
No Collision
No Collision
-3833250.475 -3998192.475
-8588.790 -11104.790
-136955.127 -242601.127
19063.814 148833.814
185843.140 174051.140
No Collision
-81993.829 -131815.829
No Collision
-89971.809 6826.191
26216.305 -117555.695
91506.545 53553.545
No Collision
No Collision
No Collision
31127.521 157739.521
No Collision
No Collision
-88252.935 -61269.935
22567.200 25786.200
41175.373 124831.373
20325.983 -9504.017
101601.675 20184.675
-46871.350 -26482.350
No Collision
No Collision
2401576.141 2282489.141
70887.022 89083.022
-70173.726 -72874.726
No Collision
No Collision
No Collision
-34048.342 -82112.342
132553.464 5461.464
50702.907 51751.907
-141747.763 -71513.763
1006641.088 1056097.088
No Collision
No Collision
-197008.863 -100453.863
No Collision
No Collision
28445.945 14090.945
No Collision
No Collision
8446708.586 8319280.586
No Collision
-119437.964 -170131.964
-42189.984 -45596.984
No Collision
No Collision
No Collision
No Collision
-34582.580 34369.420
No Collision
No Collision
No Collision
No Collision
No Collision
No Collision
-2242.505 -102716.505
124707.568 193420.568
No Collision
-69182.591 -79259.591
No Collision
258960.790 361145.790
762724.278 706364.278
No Collision
No Collision
-44617.816 -51176.816
-53997.748 -26177.748
No Collision
116536.846 238966.846
-28424.912 35592.088
33538.649 -23088.351
No Collision
10813406.240 10715978.240
No Collision
-21339.651 -20887.651
No Collision
No Collision
5746.101 39824.101
-64140.723 -4512.723
No Collision
No Collision
-54117.782 37602.218
No Collision
-24067.141 52959.859
-474448.817 -559656.817
-25806.276 -37146.276
-46774.097 64043.903
No Collision
No Collision
-63859.133 -69542.133
-2182.165 25557.835
No Collision
No Collision
No Collision
No Collision
No Collision
29969.238 73882.238
3831531.513 3766757.513
-107632.563 -71471.563
4127.037 42953.037
No Collision
17299.468 28880.468
No Collision
230753.053 199485.053
-33688.539 -38682.539
-282684.266 -147923.266
No Collision
No Collision
No Collision
62346.362 101515.362
No Collision
No Collision
91060.417 113952.417
-10188.974 -48389.974
No Collision
No Collision
-24818.190 44406.810
No Collision
-249563.093 -367659.093
No Collision
No Collision
76555.373 10378.373
99237.856 291384.856
No Collision
No Collision
No Collision
3183.253 108890.253
No Collision
No Collision
-15892.551 73484.449
No Collision
No Collision
No Collision
-153525.849 -107288.849
-74112.273 -79447.273
No Collision
245264.065 305255.065
No Collision
-202071.647 -371795.647
No Collision
No Collision
-831468.733 -810337.733
No Collision
-23989.908 76429.092
-26192.357 -54659.357
No Collision
-107404.411 -200047.411
No Collision
67297.998 16866.998
-30938.561 -118703.561
-1883.098 -20452.098
-3599016.775 -3548426.775
154173.430 21245.430
53232.613 -43923.387
No Collision
No Collision
No Collision
-42607.708 -14145.708
No Collision
69838.688 70913.688
85292.330 90834.330
52199.486 -9405.514
-87120.705 -58609.705
-143668.109 -175549.109
No Collision
84503.963 91396.963
No Collision
32094.793 3268.793
30160.321 63432.321
No Collision
-327420.383 -246879.383
No Collision
No Collision
No Collision
No Collision
-253594.515 -261404.515
No Collision
No Collision
-22354.034 -8977.034
230384.788 82541.788
No Collision
No Collision
No Collision
721428.904 768760.904
No Collision
-512146.245 -576202.245
-71708.520 52553.480
No Collision
15794.423 28363.423
No Collision
No Collision
-190390.699 -158880.699
-25000.094 -22653.094
No Collision
No Collision
-74003.272 80765.728
No Collision
-41773.608 -22557.608
No Collision
-29644.499 -17467.499
No Collision
108334.626 21153.626
6673052.973 6731574.973
No Collision
128380.104 152301.104
No Collision
No Collision
No Collision
96088.337 150526.337
-54928.738 -58721.738
No Collision
79170.485 35575.485
-1335498.577 -1417550.577
-58033.737 -77616.737
No Collision
No Collision
No Collision
100814.483 35307.483
4241.382 -9113.618
No Collision
-72086.182 -151327.182
No Collision
-15992.890 1007.110
-986958.777 -1047202.777
231030.424 45565.424
171770.629 67326.629
-144014.834 -34219.834
No Collision
No Collision
No Collision
No Collision
11834.256 -37371.744
No Collision
No Collision
-254783.928 -359264.928
-1081586.481 -958159.481
No Collision
-61628.689 -68625.689
-233699.997 -61863.997
No Collision
No Collision
No Collision
No Collision
No Collision
1925655.518 1968399.518
-835294.365 -910882.365
1329450.052 1440063.052
No Collision
No Collision
90246.899 87293.899
No Collision
-4207.219 28593.781
54402.258 -17657.742
707615.503 777379.503
85626.622 123282.622
-84489.667 57135.333
-2171717.742 -2085083.742
No Collision
No Collision
No Collision
65136.108 -53106.892
-47574.114 -40255.114
No Collision
-300264.054 -249080.054
94496.970 28643.970
No Collision
372014.622 181250.622
No Collision
-546744.233 -495076.233
-301545.669 -176367.669
No Collision
No Collision
-113580.379 -139293.379
-49947.986 -28619.986
No Collision
-138625.677 -112793.677
-4238.734 115654.266
44122.775 -18815.225
80353.341 -74085.659
No Collision
No Collision
145993.176 212170.176
-130021.858 -54747.858
No Collision
16443.052 122161.052
24245.529 42280.529
251404.099 322899.099
2118031.603 2087354.603
-304619.801 -342028.801
No Collision
No Collision
-12356.407 78419.593
-165505.796 -306332.796
679034.313 565818.313
96995.327 110395.327
-138256.817 -68838.817
No Collision
68012.306 -986.694
-23980.313 -14133.313
67695.518 -26327.482
No Collision
No Collision
No Collision
No Collision
No Collision
No Collision
-49574.248 -42442.248
No Collision
78106.882 199207.882
-92874.585 -4527.585
-41153.037 -674.037
-72256.321 -21261.321
-1104650.620 -1140302.620
No Collision
-41047.904 -9498.904
No Collision
46867.386 45761.386
No Collision
-54904.119 -38152.119
51478.579 10305.579
No Collision
No Collision
No Collision
No Collision
167108.865 64048.865
No Collision
116696.973 90570.973
No Collision
No Collision
No Collision
No Collision
722362.255 776168.255
No Collision
No Collision
167544.305 42642.305
-98787.834 -110849.834
No Collision
-44661.449 -50122.449
No Collision
No Collision
350769.662 328035.662
No Collision
129304.532 7300.532
No Collision
-57106.737 -174270.737
No Collision
9793.035 -53962.965
No Collision
No Collision
No Collision
No Collision
No Collision
132963.097 202345.097
No Collision
No Collision
No Collision
216967.604 268822.604
-70347.344 -57862.344
No Collision
-260297.774 -224864.774
No Collision
No Collision
42684.211 27892.211
No Collision
No Collision
-51190.370 -2515.370
4559875.213 4671395.213
No Collision
1293759.317 1127319.317
10905.012 187279.012
58351.469 86619.469
-372534.111 -249936.111
No Collision
No Collision
No Collision
-580429.998 -503047.998
No Collision
-102439.156 -172031.156
25780.614 -60878.386
6210.922 -48410.078
1664506.837 1532989.837
No Collision
-126032.411 45405.589
644298.932 686354.932
No Collision
No Collision
No Collision
No Collision
-2726127.538 -2607096.538
-504190.511 -400142.511
No Collision
49802.207 -8183.793
36509.043 27830.043
-60735.358 -18209.358
No Collision
No Collision
No Collision
22848.148 47049.148
32818.454 -47113.546
-4828.630 -40127.630
No Collision
No Collision
79824.631 -71724.369
No Collision
No Collision
85397.207 -18919.793
No Collision
No Collision
11476.295 28808.295
No Collision
190508.215 71719.215
No Collision
-12412.070 -64641.070
No Collision
218204.107 321118.107
No Collision
No Collision
75963.768 29173.768
No Collision
No Collision
No Collision
-504.814 -70239.814
No Collision
No Collision
49443230.408 49519537.408
No Collision
No Collision
-43371.728 -102840.728
No Collision
-17169.733 113942.267
38646.269 103776.269
-12189.851 -53698.851
32198.423 -28860.577
No Collision
No Collision
No Collision
26550.593 15008.593
No Collision
No Collision
No Collision
No Collision
236457.211 293668.211
-29426.980 -91767.980
117550.920 17019.920
-27261.126 -43095.126
-95181.191 -128887.191
6662.076 -150269.924
1030227.687 853103.687
15753.114 67001.114
-266615.018 -434701.018
1206946.933 1135633.933
-88807.278 -8013.278
9381.080 28532.080
66949.000 94388.000
No Collision
-1285619.546 -1421337.546
-171366.200 -96900.200
391349.799 450082.799
No Collision
27512.860 13063.860
No Collision
No Collision
No Collision
No Collision
226660.287 281775.287
No Collision
No Collision
No Collision
No Collision
No Collision
No Collision
-104349.157 18533.843
33883.803 88775.803
538509.932 424110.932
No Collision
No Collision
-500178.715 -407974.715
No Collision
17826.952 -60631.048
No Collision
-12286.084 -31844.084
-58332.823 -957.823
76555.722 60291.722
-3700.137 -95626.137
-1955.613 18768.387
-49563.999 -117757.999
33665.427 37116.427
No Collision
No Collision
15626.353 -96372.647
-43122.702 -79250.702
-10514.169 65053.831
46791.406 -7526.594
-167357.115 -32215.115
No Collision
-199115.067 -100725.067
51338.014 68435.014
174219.911 78445.911
-26356.567 -57477.567
No Collision
-598439.281 -557039.281
No Collision
97296.998 149809.998
No Collision
-115771.243 7573.757
81303.869 34413.869
97731.152 76596.152
No Collision
-52218.001 -191097.001
-34029.596 -84920.596
No Collision
-26106.845 61447.155
-40014.946 -87961.946
No Collision
No Collision
No Collision
-103131.156 -17127.156
No Collision
285770.524 140399.524
49417.026 -54972.974
45224.285 57160.285
No Collision
7251.944 22249.944
-2587.480 53497.520
No Collision
-73345.211 -113812.211
No Collision
20057.888 -9089.112
No Collision
No Collision
