-4254.502 69687.498
31267.164 77841.164
-1286743.087 -1272859.087
-1716519.169 -1773266.169
No Collision
No Collision
977640.072 926427.072
-187344.128 -229282.128
No Collision
109113.283 126892.283
474792.502 550221.502
No Collision
No Collision
No Collision
-7366.809 -23519.809
-666729.000 -642699.000
-8039.071 28918.929
69748.675 122017.675
-5820.575 34167.425
No Collision
No Collision
-68613.055 -87460.055
-125497.103 -102267.103
-47098.453 -13068.453
No Collision
No Collision
No Collision
1116074.298 1224522.298
No Collision
No Collision
-11807.856 -27355.856
No Collision
38493.986 116436.986
-56259.582 44086.418
No Collision
24815.021 46767.021
No Collision
No Collision
-285837.518 -217887.518
No Collision
No Collision
No Collision
76045.033 55668.033
261823.075 309817.075
472553.873 567133.873
-72784.751 -46318.751
No Collision
23818.205 -59211.795
40634.904 -2736.096
-36426.487 -53099.487
No Collision
No Collision
No Collision
No Collision
No Collision
-179250.248 -73206.248
-44078.221 -82267.221
-235483.316 -281458.316
No Collision
58661.414 9498.414
No Collision
-54931.356 -43606.356
-23833.986 6861.014
No Collision
No Collision
No Collision
No Collision
-73667.168 -40464.168
No Collision
No Collision
104918.207 87721.207
-100929.413 -87292.413
2778908.942 2704409.942
No Collision
No Collision
No Collision
No Collision
No Collision
No Collision
-3609.200 -25747.200
-4447178.839 -4409796.839
-26319.401 16487.599
54759.847 12323.847
186769.231 249771.231
No Collision
No Collision
32921.311 -53044.689
65194.956 -47207.044
-5706.663 136287.337
No Collision
No Collision
-90573.655 9717.345
No Collision
-178887.479 -260650.479
-363224.396 -471631.396
No Collision
No Collision
215623.665 148617.665
No Collision
65101.790 69699.790
No Collision
327203.232 364189.232
29805.978 131728.978
No Collision
-54570.542 -64128.542
No Collision
355093.901 255611.901
No Collision
No Collision
No Collision
-24815.567 -41776.567
No Collision
No Collision
-884941.087 -760603.087
-706280.514 -845868.514
No Collision
-25884.629 56464.371
104493.905 14330.905
No Collision
-22874.973 -53886.973
218643.259 62944.259
-90285.462 -194502.462
No Collision
163198.231 217932.231
No Collision
No Collision
No Collision
No Collision
No Collision
No Collision
No Collision
71269.489 67631.489
No Collision
No Collision
No Collision
No Collision
-44802.045 37522.955
52546.318 79192.318
-281299.658 -174673.658
No Collision
No Collision
54538.444 115166.444
No Collision
No Collision
No Collision
No Collision
25289.023 -26475.977
No Collision
134965.635 38197.635
No Collision
No Collision
-192606.864 -70708.864
37474.857 31138.857
84036.360 7156.360
No Collision
No Collision
115848.098 180844.098
42676.157 -35350.843
No Collision
No Collision
24196.422 -78504.578
165615.433 35409.433
16614.483 -19299.517
83772.398 108426.398
-678186.438 -591226.438
No Collision
No Collision
42274.287 -44767.713
No Collision
No Collision
No Collision
-115052.158 -187576.158
83445.766 21272.766
No Collision
81439.064 89097.064
No Collision
-29893.360 -55044.360
No Collision
721140.728 821791.728
No Collision
No Collision
9641427.059 9758950.059
No Collision
No Collision
No Collision
-58918.190 20104.810
No Collision
No Collision
No Collision
190906.846 75935.846
-68876.168 31966.832
-101868.335 -11782.335
-81959.199 -23950.199
-284315.408 -403065.408
No Collision
No Collision
185991.748 317430.748
226272.907 358294.907
No Collision
No Collision
No Collision
No Collision
No Collision
45050.358 52151.358
6329.194 -120005.806
No Collision
59501.035 86214.035
111553.573 69270.573
141610.809 189020.809
No Collision
No Collision
60700.891 1272.891
No Collision
430311.162 388379.162
No Collision
-19742.516 -32779.516
No Collision
No Collision
-38410.507 -168821.507
38492.247 7132.247
No Collision
-55350.668 -87283.668
-1804010618.333 -1803962298.333
-260830.388 -157373.388
71258.824 33894.824
-179763.121 -20083.121
No Collision
-25024.321 10099.679
No Collision
No Collision
-16682214.745 -16631867.745
No Collision
No Collision
No Collision
-134167.600 -45626.600
No Collision
-133932.924 -41582.924
No Collision
No Collision
No Collision
No Collision
-82556.914 5453.086
-255937.590 -432670.590
No Collision
44065.792 70248.792
No Collision
No Collision
No Collision
No Collision
-678989.498 -519616.498
No Collision
-49927.105 1691.895
No Collision
No Collision
No Collision
No Collision
No Collision
No Collision
No Collision
No Collision
124161.049 19391.049
-3663633.947 -3761231.947
No Collision
No Collision
22691.027 -14345.973
No Collision
21515.143 99379.143
9611.434 27836.434
No Collision
224737.758 259365.758
No Collision
No Collision
20727.514 686.514
No Collision
8291.610 43009.610
178238.284 229899.284
No Collision
No Collision
No Collision
No Collision
No Collision
No Collision
29360.838 42235.838
257452.195 322942.195
No Collision
-274623.256 -320796.256
No Collision
-23733.481 65181.519
2082114.596 2091320.596
No Collision
557136.677 576879.677
No Collision
No Collision
No Collision
150758.683 15514.683
No Collision
No Collision
170034.222 34619.222
No Collision
No Collision
180669.939 134386.939
258449.216 345570.216
No Collision
No Collision
No Collision
No Collision
No Collision
-101992.676 -123903.676
216491.185 68317.185
No Collision
No Collision
506564.361 427103.361
68459.070 32507.070
843.809 85920.809
-34557.453 -126318.453
No Collision
83908.645 -11105.355
No Collision
-464296.737 -294522.737
-73497.371 -41442.371
No Collision
No Collision
15880.680 -99341.320
No Collision
No Collision
12105812.448 12087343.448
No Collision
No Collision
14708.020 78062.020
-66732.605 19427.395
No Collision
-18563.911 72937.089
No Collision
No Collision
-234835.854 -328393.854
No Collision
-19938.900 -55150.900
No Collision
-201175.254 -310785.254
-23720.864 14786.136
No Collision
-355647.846 -201289.846
No Collision
-53302.583 20598.417
No Collision
800704.094 746842.094
No Collision
88211.680 16463.680
2161117.285 2051587.285
-100109.674 -59809.674
No Collision
-422112.792 -463826.792
-74002.433 -73654.433
-24596.925 14707.075
47619.227 30821.227
-10364960.189 -10182796.189
No Collision
No Collision
No Collision
No Collision
-47482.738 -9600.738
No Collision
-77108.819 -53026.819
-211423.693 -102386.693
-104671.424 -16859.424
119781.634 39290.634
No Collision
No Collision
No Collision
-193248.991 -226401.991
No Collision
-10354264.008 -10411796.008
No Collision
-10973.840 -26950.840
185761.431 85033.431
No Collision
25700.770 28170.770
No Collision
No Collision
18284.471 -68412.529
42555.354 53837.354
No Collision
-76492.852 -71720.852
No Collision
No Collision
-54362.243 108591.757
No Collision
No Collision
No Collision
No Collision
No Collision
415848.515 339224.515
47346.888 -48635.112
21141.903 112806.903
166498.684 103847.684
No Collision
-183081.329 -16902.329
No Collision
91656.406 71682.406
No Collision
No Collision
-78342.785 -106458.785
No Collision
-109150.655 -60144.655
No Collision
No Collision
No Collision
-25377.774 -67459.774
No Collision
No Collision
67356.969 -1530.031
No Collision
No Collision
-4639175.627 -4583327.627
-95334.184 -84669.184
-21472.456 38847.544
-38428.054 -75405.054
No Collision
-1253426.646 -1204951.646
No Collision
101185.490 120815.490
77809.626 145705.626
No Collision
No Collision
69074.738 90342.738
73052.206 -70423.794
-268886.748 -327531.748
-79309.987 -81034.987
No Collision
No Collision
9518.077 55553.077
525692.268 606062.268
9667.821 27992.821
No Collision
-145294.905 -165988.905
No Collision
No Collision
109435.344 170670.344
-27353.035 111650.965
No Collision
No Collision
-29903200.139 -29957855.139
No Collision
16611.286 -1098.714
-135184.570 -146713.570
-44462.509 -36059.509
No Collision
No Collision
3989741.459 4139471.459
-571098.698 -717267.698
No Collision
50820.587 -55050.413
-13022.937 11430.063
No Collision
-57495.014 -49891.014
No Collision
-14214.926 -8215.926
-10715.374 -5781.374
-38825.696 46031.304
No Collision
No Collision
-63817.574 -84305.574
No Collision
90666.956 -26793.044
No Collision
170318.173 128872.173
-19038.582 97726.418
-49077.386 -38575.386
388028.982 504086.982
-285054.937 -137950.937
50189.777 174618.777
-446907.447 -251411.447
No Collision
No Collision
172583.368 223688.368
No Collision
-551821.981 -479900.981
-951932.954 -1102884.954
No Collision
-13754.177 -14598.177
-20245.333 -14185.333
6675.560 53281.560
No Collision
No Collision
482818.496 383739.496
-53374.885 -126008.885
72072.309 -75284.691
No Collision
-85395.724 -93460.724
-162296.237 -50363.237
No Collision
1392911.427 1534032.427
No Collision
No Collision
75348.379 104309.379
-82342.935 -138734.935
102616.930 116018.930
-4989.837 46208.163
15132.938 20411.938
50809.943 -29432.057
No Collision
-35423.637 -22942.637
No Collision
No Collision
20444.061 -48668.939
No Collision
No Collision
No Collision
No Collision
-92298.710 -98862.710
No Collision
86662.467 -58779.533
No Collision
4377818.574 4415640.574
No Collision
No Collision
No Collision
135888.393 2562.393
468429.666 534688.666
-64490.415 -23304.415
19998760.929 19923864.929
224136.038 265954.038
95785.172 68698.172
No Collision
No Collision
167297.435 -11721.565
No Collision
-194831.451 -128012.451
-1358769.697 -1180877.697
102252.138 36299.138
No Collision
No Collision
-393235.396 -311308.396
No Collision
No Collision
77287.320 47165.320
No Collision
42432.976 23446.976
No Collision
No Collision
No Collision
-1082381.680 -931928.680
-209676.185 -187120.185
101532.222 133344.222
-125813.681 -106942.681
-1660752.567 -1716342.567
163631.194 219471.194
No Collision
-811068.512 -804950.512
-36160.174 -77491.174
No Collision
10405.655 -70657.345
44236.367 8322.367
-124765.569 -110528.569
No Collision
No Collision
7923898.857 7826693.857
-30405.360 -47063.360
47259.824 -100280.176
639942.368 587841.368
No Collision
114813.184 67460.184
-92580.692 -128303.692
7730.159 9193.159
220173.659 149485.659
No Collision
71761.201 95069.201
No Collision
No Collision
No Collision
-82936.634 811.366
No Collision
No Collision
86386.976 2759.976
No Collision
3835.438 76561.438
23411.652 19181.652
-122382.396 -45571.396
No Collision
-25040.693 -34483.693
-102205.790 -74102.790
No Collision
No Collision
75575.893 11875.893
No Collision
100042.006 -14003.994
No Collision
19346.532 135831.532
No Collision
No Collision
No Collision
No Collision
No Collision
44550468.446 44454883.446
503980.681 566804.681
-146321.888 -272150.888
67278.017 153444.017
No Collision
181768.185 96241.185
No Collision
-137723.764 -67573.764
No Collision
97866.604 73935.604
42087.945 100377.945
No Collision
No Collision
No Collision
203273.110 179806.110
No Collision
No Collision
571467.577 599619.577
28171.180 -87677.820
-2046.682 32778.318
No Collision
37800.238 63624.238
No Collision
-192158.687 -291026.687
-39170.860 -72366.860
2272.597 -20584.403
36506.884 -768.116
No Collision
No Collision
9430.251 64597.251
458698.064 324162.064
No Collision
No Collision
10280461.313 10140662.313
No Collision
No Collision
38868.230 18324.230
4738.634 15011.634
No Collision
No Collision
-779790.948 -929101.948
-248179.387 -291147.387
No Collision
No Collision
No Collision
No Collision
20592.588 -39526.412
No Collision
No Collision
No Collision
10726.661 32798.661
-516834.621 -370972.621
-181080.746 -153170.746
783949.217 964215.217
No Collision
No Collision
No Collision
45114.522 182685.522
-54384.412 45733.588
No Collision
No Collision
-18004.993 56529.007
-37023.289 -22732.289
No Collision
34754334.502 34581897.502
57738.132 48441.132
8456.119 -28803.881
No Collision
-37028.201 19712.799
No Collision
No Collision
268230.645 188671.645
56665.133 112635.133
-12972.046 -14464.046
-7467812.911 -7566256.911
-18510.749 -32988.749
58114.533 -21463.467
No Collision
-176781.670 -260198.670
No Collision
-85477.150 -20990.150
No Collision
No Collision
-72118.122 -7411.122
No Collision
No Collision
-214392.499 -228102.499
-84453.365 -20418.365
No Collision
10663.343 15318.343
170639.698 96152.698
160473.237 -29494.763
No Collision
-114774.590 -237197.590
15508.910 -43862.090
No Collision
No Collision
No Collision
No Collision
No Collision
-238076.424 -250908.424
No Collision
-13404.019 -22482.019
No Collision
No Collision
-21980.625 -86399.625
-162253.976 31508.024
12625.748 96064.748
31295.701 30465.701
No Collision
26512.528 8440.528
-46812.031 -72564.031
No Collision
No Collision
-40130.941 -69582.941
-443767.678 -289815.678
122620.797 252716.797
No Collision
No Collision
No Collision
No Collision
-53941400.516 -53793438.516
59702.677 71454.677
-60072.426 -214504.426
No Collision
No Collision
-42170.735 -7408.735
319424.411 358924.411
No Collision
No Collision
42002.480 -3649.520
No Collision
-41458.605 -35121.605
14192188.402 14279377.402
17144.778 -130434.222
No Collision
-65371.339 -157436.339
No Collision
No Collision
No Collision
No Collision
No Collision
-29761.694 -155076.694
33730.488 24690.488
91709.783 55990.783
No Collision
-1492.577 -1368.577
-1282854.627 -1183005.627
No Collision
No Collision
-43797.286 -13933.286
29258.289 19815.289
No Collision
No Collision
No Collision
-32766.121 47776.879
-444444.057 -332487.057
78564.475 -28506.525
-65476.916 68926.084
-97093.924 61845.076
No Collision
-13438169.141 -13358234.141
No Collision
No Collision
-1042362.940 -1170250.940
-19819.771 -93404.771
No Collision
-285049.518 -339067.518
No Collision
127716.937 12222.937
No Collision
30725.486 -81978.514
-66903.798 -74334.798
No Collision
No Collision
-145758.737 -116722.737
38184.525 1410.525
139076.358 40728.358
No Collision
No Collision
-65484.232 -66609.232
No Collision
-3559.660 12669.340
No Collision
No Collision
No Collision
No Collision
No Collision
-1649724.166 -1539517.166
-14749.557 12169.443
-382202.676 -266389.676
-30336.209 77484.791
No Collision
6867.494 -21583.506
No Collision
65507.724 69607.724
No Collision
No Collision
35535.857 -83723.143
No Collision
No Collision
-776657.774 -924765.774
No Collision
284882.021 153346.021
No Collision
-234075.011 -98849.011
-153552.974 -135474.974
1650925.291 1783153.291
56454.573 33253.573
-225740.451 -314134.451
-188266.330 -135958.330
-1479462.254 -1407699.254
-27637.126 6796.874
No Collision
No Collision
No Collision
No Collision
No Collision
22707.459 43094.459
11573.314 -21798.686
No Collision
43460.734 62310.734
79106.413 79506.413
No Collision
-82416.584 -30129.584
No Collision
No Collision
No Collision
145877.741 87714.741
-305797.568 -452100.568
No Collision
61008.171 150514.171
No Collision
No Collision
No Collision
-78559.301 86197.699
39506.757 59311.757
-83350.435 -60735.435
85818.217 -19306.783
No Collision
No Collision
No Collision
-23440.487 86332.513
166216.833 148728.833
No Collision
No Collision
No Collision
37744.375 -22553.625
-803433.706 -873232.706
No Collision
No Collision
-29984.543 -30467.543
No Collision
281207.303 389295.303
No Collision
No Collision
98716.412 -9609.588
-111453.582 -70493.582
No Collision
No Collision
No Collision
No Collision
294359.393 220722.393
No Collision
No Collision
No Collision
61191.639 25883.639
No Collision
No Collision
No Collision
-20932.079 41125.921
No Collision
73940.872 144010.872
448200.729 617210.729
65665.284 -59170.716
No Collision
-121922.753 -181556.753
No Collision
No Collision
No Collision
No Collision
-20830.703 -21541.703
203629.013 71792.013
No Collision
No Collision
-188512.621 -66592.621
No Collision
No Collision
No Collision
605835.230 678005.230
140773.012 91155.012
No Collision
-4822.344 269.656
No Collision
No Collision
26847.634 35462.634
No Collision
No Collision
No Collision
-31096.275 -41902.275
No Collision
8783.222 17952.222
52244.676 -17708.324
No Collision
32667.532 110385.532
76288.787 44302.787
No Collision
No Collision
No Collision
No Collision
84006.654 42436.654
208899.264 345555.264
-5804.064 12084.936
-27917.438 -9910.438
No Collision
-90594.043 3704.957
No Collision
No Collision
63261.116 68668.116
No Collision
-521544.055 -597816.055
-55370.053 -18453.053
No Collision
No Collision
96692.693 -19954.307
No Collision
No Collision
86119.502 57481.502
No Collision
237370.735 88174.735
No Collision
-844036.253 -706246.253
21072.587 -91559.413
No Collision
-326526.573 -243371.573
No Collision
No Collision
225951.170 85046.170
-68462.606 3184.394
No Collision
No Collision
No Collision
394396.521 404675.521
No Collision
-14967.407 -25018.407
No Collision
No Collision
470535.674 315647.674
-250491.564 -332393.564
177998.751 249326.751
No Collision
-311633.855 -350995.855
No Collision
No Collision
No Collision
No Collision
14546.364 -12566.636
No Collision
No Collision
245200.726 145340.726
9204.080 33401.080
No Collision
No Collision
No Collision
No Collision
No Collision
244132.520 300639.520
179824.333 217444.333
No Collision
No Collision
-42111.295 -16052.295
No Collision
No Collision
No Collision
No Collision
-243177.847 -133516.847
No Collision
-74815.763 -90851.763
-65189.232 -43503.232
-18159.188 -94962.188
No Collision
-14428.191 59295.809
No Collision
58280.411 35969.411
No Collision
No Collision
No Collision
286860.552 261769.552
-144606.224 -219133.224
No Collision
No Collision
-22240.248 51856.752
-137651.321 -96548.321
16790.647 86566.647
34676.070 -30785.930
44697.156 207756.156
428752.855 472343.855
No Collision
-4820528.723 -4772296.723
-48487.731 -7114.731
156877.115 279080.115
-6418604.281 -6437518.281
No Collision
No Collision
133726.508 26604.508
25117.141 -71803.859
105570.169 176124.169
19248.108 -73236.892
84809.867 67482.867
138707.393 77264.393
No Collision
-7892.247 -18484.247
448922.883 570876.883
No Collision
No Collision
No Collision
No Collision
No Collision
-24352.640 -42183.640
-56275.271 -192984.271
No Collision
No Collision
77297.833 -28707.167
82155.648 -16324.352
No Collision
20193.099 1943.099
No Collision
No Collision
No Collision
No Collision
No Collision
126708.574 308629.574
No Collision
-80588.630 -35734.630
No Collision
-104443.800 -117144.800
534761.425 592214.425
No Collision
3241.980 13474.980
77084.337 70024.337
-126748.321 -105930.321
No Collision
-57224.326 -15430.326
No Collision
-1547.500 23957.500
-157680.577 -237628.577
No Collision
-118815.142 -12765.142
No Collision
No Collision
-126304.416 -73170.416
No Collision
-100731.857 -45971.857
No Collision
No Collision
-76283.033 -13919.033
-92111.430 -153335.430
271333.816 200140.816
23652.617 -2953.383
No Collision
No Collision
No Collision
-107938.495 -174456.495
No Collision
26840.550 67058.550
16785.343 -62604.657
65755.280 87890.280
No Collision
No Collision
45635.925 -26231.075
No Collision
90327.764 -13170.236
No Collision
-35137.361 -51210.361
812.910 39872.910
No Collision
No Collision
-129353.136 7933.864
-12943.648 -11697.648
No Collision
No Collision
184418.360 209714.360
-79207.030 12596.970
No Collision
No Collision
No Collision
-16387.081 64759.919
-62600.164 -40172.164
-65407.252 -137212.252
No Collision
No Collision
-392000.455 -533640.455
No Collision
33751.660 72010.660
-10636.884 -21551.884
No Collision
-367424.152 -440900.152
No Collision
62391.542 -20765.458
-98653.826 45501.174
No Collision
336136.732 508977.732
No Collision
28581.208 51420.208
2021.139 36431.139
No Collision
No Collision
234099.635 117896.635
-407045.589 -257761.589
No Collision
No Collision
249485.414 85752.414
No Collision
No Collision
No Collision
No Collision
No Collision
-280677.341 -141249.341
-78020.086 -144194.086
No Collision
No Collision
No Collision
-40835.891 38882.109
No Collision
-34178.467 -99255.467
2380.329 101179.329
-188261.203 -64841.203
No Collision
77521.069 93561.069
No Collision
No Collision
-13030.120 -3881.120
-57975.409 -102138.409
No Collision
No Collision
No Collision
No Collision
1384538.575 1496410.575
-114108.905 -207004.905
390737.334 302656.334
136872.092 29687.092
No Collision
No Collision
-72511.958 43031.042
66285.203 99309.203
-8452.130 -44671.130
37884.937 4490.937
No Collision
-1480659.000 -1380643.000
-39613.870 -86461.870
No Collision
No Collision
89381.223 74720.223
No Collision
26305.960 -5920.040
No Collision
No Collision
-349650.208 -201507.208
-3815.366 -64900.366
-28236.879 -64367.879
-6472.899 70343.101
38009.062 135269.062
-1735353.287 -1586438.287
54593.686 47149.686
No Collision
No Collision
No Collision
-19108.036 22497.964
17130.584 47745.584
No Collision
No Collision
No Collision
No Collision
16789.086 31682.086
No Collision
-29557.405 -8478.405
No Collision
62202.685 39486.685
No Collision
No Collision
77798.930 80020.930
-481116.505 -387652.505
No Collision
-8531.431 21870.569
-194412.573 -110242.573
-90752.430 44044.570
525906.146 642560.146
No Collision
74606.123 48542.123
-111023.541 -60867.541
-100799.868 61963.132
36944.909 16219.909
-91759.811 11816.189
No Collision
No Collision
